Task,Model,Try1,Try2,Try3,Try4,Try5,Try6,Try7,Try8,Try9,Try10,Avg,Avg. success rate of proposed AutoLight,Avg. success rate of single agents
1.0,proposed,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.875,30.325
1.0,OpenAI-o3-mini,75.0,75.0,37.5,37.5,75.0,75.0,75.0,75.0,75.0,37.5,63.75,,
1.0,OpenAI-o1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,7.5,,
1.0,DeepSeek-V3,75.0,75.0,25.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.0,,
1.0,Qwen-max,75.0,75.0,75.0,75.0,75.0,75.0,75.0,100.0,75.0,75.0,77.5,,
1.0,OpenAI-GPT-4o,75.0,75.0,75.0,100.0,75.0,75.0,100.0,75.0,100.0,75.0,82.5,,
3.0,proposed,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,97.5,,
3.0,OpenAI-o3-mini,25.0,50.0,25.0,25.0,25.0,50.0,25.0,50.0,25.0,25.0,32.5,,
3.0,OpenAI-o1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.5,,
3.0,DeepSeek-V3,50.0,25.0,50.0,25.0,25.0,25.0,50.0,75.0,50.0,50.0,42.5,,
3.0,Qwen-max,25.0,25.0,50.0,25.0,50.0,50.0,50.0,75.0,50.0,50.0,45.0,,
3.0,OpenAI-GPT-4o,25.0,50.0,50.0,25.0,50.0,25.0,25.0,25.0,50.0,50.0,37.5,,
2.0,proposed,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,,
2.0,OpenAI-o3-mini,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,,
2.0,OpenAI-o1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,
2.0,DeepSeek-V3,40.0,40.0,40.0,20.0,40.0,40.0,20.0,40.0,40.0,40.0,36.0,,
2.0,Qwen-max,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,49.0,,
2.0,OpenAI-GPT-4o,40.0,20.0,20.0,40.0,40.0,40.0,40.0,20.0,40.0,40.0,34.0,,
4.0,proposed,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
4.0,OpenAI-o3-mini,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1.25,,
4.0,OpenAI-o1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4.0,DeepSeek-V3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4.0,Qwen-max,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.75,,
4.0,OpenAI-GPT-4o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1.25,,
